Parent	Gropoff	WATOff	Names	Truck	Plant	Stud0	Stud1	Stud2	Stud3	Stud4	Stud5	Stud6	Stud7	Stud8	Stud9	Stud10	Stud11	Stud12	Stud13	Stud14	Stud15	Stud16	Stud17	Stud18	Stud19	Mach0	Mach1	Mach2	Mach3	Mach4	Mach5	Mach6	Mach7	Mach8	Mach9	Cour0
*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******
S	S	S	S																							S5										S
D19,3				d2,4																								r								
				D2,4																								R								
				d3,4																									r							
				D3,4																									R							
				d4,4																										r						
				D4,4																										R						
				d5,4																											r					
				D5,4																											R					
				d6,4																												r				
				D6,4																												R				
				d7,4																													r			
				U7,1																													R			
				D7,4																																
				d8,4																														r		
				U8,3																														R		
				D8,4																																
				d9,4																															r	
				U9,1																															R	
D0,3				D9,4	G4																															
D19,1																																				
D11,3																																				
D4,2				P4	P																															
				d0,4																						r										
				D0,4																						R										
				d1,4																							r									
				D1,4																							R									
				d2,4																								r								
				D2,4																								R								
				d3,4																									r							
				D3,4																									R							
				d4,4																										r						
				D4,4																										R						
				d5,4																											r					
				D5,4																											R					
				d6,4																												r				
				D6,4																												R				
				d7,4																													r			
				D7,3																													R			
				d8,3																														r		
				U8,3																														R		
				D8,3																																
				d9,3																															r	
				U9,1																															R	
D2,1				D9,3																																
D9,2																																				
D0,3					G5																															
D5,1				P5	P																															
				d0,5																						r										
				D0,5																						R										
				d1,5																							r									
				D1,5																							R									
				d2,5																								r								
				D2,5																								R								
				d3,5																									r							
				D3,5																									R							
				d4,5																										r						
				D4,5																										R						
				d5,5																											r					
				D5,5																											R					
				d6,5																												r				
				D6,5																												R				
				d7,5																													r			
				D7,5																													R			
				d8,5																														r		
				U8,1																														R		
				D8,3																																
				d9,3																															r	
				U9,1																															R	
D4,2				D9,3																																
D5,3																																				
D1,1					G3																															
D6,1				P3	P																															
				d0,3																						r										
				D0,3																						R										
				d1,3																							r									
				D1,3																							R									
				d2,3																								r								
				D2,3																								R								
				d3,3																									r							
				D3,3																									R							
				d4,3																										r						
				D4,3																										R						
				d5,3																											r					
				D5,3																											R					
				d6,3																												r				
				D6,3																												R				
				d7,3																													r			
				D7,3																													R			
				d8,3																														r		
				U8,1																														R		
				D8,3																																
				d9,3																															r	
				U9,1																															R	
D10,3				D9,3																																
D7,2																																				
D3,1					G8																															
D15,3				P8	P																															
				d0,8																						r										
				D0,8																						R										
				d1,8																							r									
				D1,8																							R									
				d2,8																								r								
				D2,8																								R								
				d3,8																									r							
				D3,8																									R							
				d4,8																										r						
				D4,8																										R						
				d5,8																											r					
				D5,8																											R					
				d6,8																												r				
				D6,8																												R				
				d7,8																													r			
				D7,8																													R			
				d8,8																														r		
				D8,7																														R		
				d9,7																															r	
D15,1				D9,6																															R	
D19,3																																				
D1,3					G2																															
D14,2				P2	P																															
				d0,2																						r										
				D0,2																						R										
				d1,2																							r									
				D1,2																							R									
				d2,2																								r								
				D2,2																								R								
				d3,2																									r							
				D3,2																									R							
				d4,2																										r						
				D4,2																										R						
				d5,2																											r					
				D5,2																											R					
				d6,2																												r				
				D6,2																												R				
				d7,2																													r			
				D7,2																													R			
				d8,2																														r		
				D8,2																														R		
				d9,2																															r	
D18,3				D9,2																															R	
D18,3																																				
D7,2					G5																															
D13,3				P5	P																															
				d0,5																						r										
				D0,5																						R										
				d1,5																							r									
				D1,5																							R									
				d2,5																								r								
				D2,5																								R								
				d3,5																									r							
				D3,5																									R							
				d4,5																										r						
				D4,5																										R						
				d5,5																											r					
				D5,5																											R					
				d6,5																												r				
				D6,5																												R				
				d7,5																													r			
				D7,5																													R			
				d8,5																														r		
				D8,5																														R		
				d9,5																															r	
D7,1				D9,5																															R	
D0,2																																				
D17,1					G4																															
D0,1				P4	P																															
				d0,4																						r										
				D0,4																						R										
				d1,4																							r									
				D1,4																							R									
				d2,4																								r								
				D2,4																								R								
				d3,4																									r							
				D3,4																									R							
				d4,4																										r						
				D4,4																										R						
				d5,4																											r					
				D5,4																											R					
				d6,4																												r				
				D6,4																												R				
				d7,4																													r			
				D7,4																													R			
				d8,4																														r		
				D8,4																														R		
				d9,4																															r	
D1,3				D9,4																															R	
D8,3																																				
D17,1					G5																															
D11,3				P5	P																															
				d0,5																						r										
				D0,5																						R										
				d1,5																							r									
				D1,5																							R									
				d2,5																								r								
				D2,5																								R								
				d3,5																									r							
				D3,5																									R							
				d4,5																										r						
				D4,5																										R						
				d5,5																											r					
				D5,5																											R					
				d6,5																												r				
				D6,5																												R				
				d7,5																													r			
				D7,5																													R			
				d8,5																														r		
				D8,5																														R		
				d9,5																															r	
D10,2				D9,5																															R	
D12,1																																				
D16,1					G4																															
D6,3				P4	P																															
				d0,4																						r										
				D0,4																						R										
				d1,4																							r									
				D1,4																							R									
				d2,4																								r								
				D2,4																								R								
				d3,4																									r							
				D3,4																									R							
				d4,4																										r						
				D4,4																										R						
				d5,4																											r					
				D5,4																											R					
				d6,4																												r				
				D6,4																												R				
				d7,4																													r			
				D7,4																													R			
				d8,4																														r		
				D8,4																														R		
				d9,4																															r	
		W		D9,4																															R	T6,10
																																				t2,10
		W						B2,5				B2,5																B2,2					B2,2			T2,10
																																				t16,10
D14,2		W																				B2,5													B2,2	T16,10
																																				t13,10
																						A2													A	T13,10
D6,1		W										B2,0							B2,5			X								B2,2			B2,1			t19,5
		W						B2,0											B2,0			B2,0			B2,0	B2,2		B2,1		B2,1					B2,1	T19,5
																																				t11,5
D11,3																	A2										A									T11,5
		W															X																			t10,10
D4,1					G5											B3,5											B3,2									T10,10
				P5	P																															
				d0,5																						r										
				D0,4																						R										
				d1,4																							r									
				U1,1																							R									
				D1,4																																
				d2,4																								r								
				U2,2																								R								
				D2,4																																
				d3,4																									r							
				D3,4																									R							
				d4,4																										r						
				U4,2																										R						
				D4,4																																
				d5,4																											r					
				D5,4																											R					
				d6,4																												r				
				D6,4																												R				
				d7,4																													r			
				U7,2																													R			
				D7,4																																
				d8,4																														r		
				D8,4																														R		
		T19,10		W																																
D9,1		T13,10															B2,0										B2,2									
D11,2		T16,10																																		
		T2,10														A3											A									
D0,2		T6,10		d9,4												X																			r	
				U9,2																															R	
		W		D9,4																																t12,10
D12,1		W			G3													B3,5										B3,2								T12,10
																																				t8,10
D16,1		T11,10												A1		B3,0										A	B3,1									T8,10
		W																																		t3,10
D4,3		W							B2,5																						B2,2					T3,10
																																				t7,10
				P3	P								B3,5					A3										A							B3,2	T7,10
				d0,3																						r										
				D0,3																						R										
				d1,3																							r									
				U1,3																							R									
				D1,3																																
				d2,3																								r								
				U2,3																								R								
				D2,3																																
				d3,3																									r							
				D3,3																									R							
				d4,3																										r						
				U4,2																										R						
				D4,3																																
				d5,3																											r					
				U5,1																											R					
				D5,3																																
				d6,3																												r				
				D6,3																												R				
				d7,3																													r			
				U7,2																													R			
				D7,3																																
				d8,3																														r		
				D8,3																														R		
				d9,3																															r	
				U9,3																															R	
		W		D9,3																																t18,10
D2,2		T10,10							A2					B1,5										A0		B1,2					A			A		T18,10
D11,1		W																																		t19,10
		W																A3							B2,5	B2,2		A								T19,10
D14,2																									A2	A										t13,10
									A2				B3,0												X						A				B3,1	
									X					B1,0												B1,1										
D18,1					G7									F19,4																						
				P7	P																															
				d0,7																						r										
				D0,4																						R										
				d1,4																							r									
				U1,1																							R									
				D1,2																																
				d2,2																								r								
				U2,3																								R								
				D2,2																																
				d3,2																									r							
				D3,2																									R							
				d4,2																										r						
				U4,2																										R						
				D4,2																																
				d5,2																											r					
				U5,1																											R					
				D5,2																																
				d6,2																												r				
				D6,2																												R				
				d7,2																													r			
				U7,2																													R			
				D7,2																																
				d8,2																														r		
				D8,2																														R		
				d9,2																															r	
				U9,4																															R	
D6,1				D9,2														B3,0						B0,5				B3,1						B0,2		
D8,3		T7,10							B2,0															B0,0	A2	A					B2,1			B0,1		
D11,3		T12,10																																		
D2,2		T18,10			G2																															
				P2	P																															
				d0,2																						r										
				D0,2																						R										
				d1,2																							r									
				D1,1																							R									
				d2,1																								r								
				U2,4																								R								
				D2,1																																
				d3,1																									r							
				D3,1																									R							
				d4,1																										r						
				U4,2																										R						
				D4,1																																
				d5,1																											r					
				U5,2																											R					
				D5,1																																
				d6,1																												r				
				D6,1																												R				
				d7,1																													r			
				U7,2																													R			
				D7,1																																
				d8,1																														r		
				U8,1																														R		
D19,3		T3,10		D8,0																					B2,0	B2,2										
D8,3		T19,10																																		
D13,2																																				
D14,3					G2																															
				P2	P																															
				d9,2																															r	
				U9,3																															R	
				D9,1																																
				d0,1																						r										
				U0,1																						R										
				D0,1																																
				d1,1																							r									
				D1,1																							R									
				d2,1																								r								
				U2,4																								R								
				D2,1																																
				d3,1																									r							
				D3,1																									R							
				d4,1																										r						
				U4,2																										R						
				D4,1																																
				d5,1																											r					
				U5,2																											R					
				D5,1																																
				d6,1																												r				
				D6,1																												R				
				d7,1																													r			
				U7,2																													R			
				D7,1																																
				d8,1																														r		
				U8,1																														R		
D3,2				D8,1																																
D17,3																																				
D12,1																																				
D4,3					G5																															
				P5	P																															
				d9,5																															r	
				U9,1																															R	
				D9,3																																
				d0,3																						r										
				U0,1																						R										
				D0,3																																
				d1,3																							r									
				D1,3																							R									
				d2,3																								r								
				U2,4																								R								
				D2,3																																
				d3,3																									r							
				D3,3																									R							
				d4,3																										r						
				U4,2																										R						
				D4,3																																
				d5,3																											r					
				U5,2																											R					
				D5,3																																
				d6,3																												r				
				D6,3																												R				
				d7,3																													r			
				U7,2																													R			
				D7,3																																
				d8,3																														r		
D13,2				D8,2																														R		
D0,1																																				
D3,1																																				
D16,1					G7																															
				P7	P																															
				d9,7																															r	
				D9,6																															R	
				d0,6																						r										
				D0,5																						R										
				d1,5																							r									
				D1,5																							R									
				d2,5																								r								
				U2,2																								R								
				D2,3																																
				d3,3																									r							
				D3,3																									R							
				d4,3																										r						
				U4,2																										R						
				D4,3																																
				d5,3																											r					
				U5,2																											R					
				D5,3																																
				d6,3																												r				
				D6,3																												R				
				d7,3																													r			
				U7,2																													R			
				D7,3																																
				d8,3																														r		
D18,3				D8,3																														R		
D13,2																																				
D5,3																																				
D0,3					G4																															
				P4	P																															
				d9,4																															r	
				D9,4																															R	
D18,3				W																																
D6,3																																				
D16,1																																				
D18,1				d0,4																						r										
				D0,4																						R										
				d1,4																							r									
				D1,4																							R									
				d2,4																								r								
				U2,1																								R								
				D2,3																																
				d3,3																									r							
				D3,3																									R							
				d4,3																										r						
				U4,2																										R						
				D4,3																																
				d5,3																											r					
				U5,2																											R					
				D5,3																																
				d6,3																												r				
				D6,3																												R				
				d7,3																													r			
				U7,2																													R			
				D7,3																																
				d8,3																														r		
D12,3				D8,3	G3																													R		
D1,1				P3	P																															
				d9,3																															r	
				D9,3																															R	
				d0,3																						r										
				D0,3																						R										
				d1,3																							r									
				D1,3																							R									
				d2,3																								r								
				U2,1																								R								
				D2,3																																
				d3,3																									r							
				D3,3																									R							
				d4,3																										r						
				U4,2																										R						
				D4,3																																
				d5,3																											r					
				U5,2																											R					
				D5,3																																
				d6,3																												r				
				D6,3																												R				
				d7,3																													r			
				U7,2																													R			
				D7,3																																
				d8,3																														r		
D12,3				D8,3																														R		
D5,1																																				
D18,2																																				
D16,2					G6																															
				P6	P																															
				d9,6																															r	
				D9,6																															R	
				d0,6																						r										
				D0,6																						R										
				d1,6																							r									
				D1,6																							R									
				d2,6																								r								
				D2,5																								R								
				d3,5																									r							
				D3,5																									R							
				d4,5																										r						
				U4,1																										R						
				D4,4																																
				d5,4																											r					
				U5,2																											R					
				D5,4																																
				d6,4																												r				
				D6,4																												R				
				d7,4																													r			
				U7,2																													R			
				D7,4																																
				d8,4																														r		
D14,3				D8,4																														R		
D15,2																																				
D9,3																																				
D12,1					G3																															
				P3	P																															
				d9,3																															r	
				D9,3																															R	
				d0,3																						r										
				D0,3																						R										
				d1,3																							r									
				D1,3																							R									
				d2,3																								r								
				D2,3																								R								
				d3,3																									r							
				D3,3																									R							
				d4,3																										r						
				D4,2																										R						
				d5,2																											r					
				U5,2																											R					
				D5,2																																
				d6,2																												r				
				D6,2																												R				
				d7,2																													r			
				U7,2																													R			
				D7,2																																
				d8,2																														r		
D4,1				D8,2																														R		
D3,2																																				
D16,2																																				
D11,1					G3																															
				P3	P																															
				d9,3																															r	
				D9,3																															R	
				d0,3																						r										
				D0,3																						R										
				d1,3																							r									
				D1,3																							R									
				d2,3																								r								
				D2,3																								R								
				d3,3																									r							
				D3,3																									R							
				d4,3																										r						
				D4,3																										R						
				d5,3																											r					
				U5,2																											R					
				D5,3																																
				d6,3																												r				
				D6,3																												R				
				d7,3																													r			
				U7,2																													R			
				D7,3																																
				d8,3																														r		
D7,3				D8,3																														R		
D10,2																																				
D8,2																																				
D13,3		W																																		T13,10
																																				t16,10
					G1														B2,5			B2,5								B2,2					B2,2	T16,10
				P1	P																															
				d9,1																															r	
				U9,1																															R	
				D9,1																																
				d0,1																						r										
				D0,1																						R										
				d1,1																							r									
				D1,1																							R									
				d2,1																								r								
				D2,1																								R								
				d3,1																									r							
				D3,1																									R							
				d4,1																										r						
				U4,1																										R						
				D4,1																																
				d5,1																											r					
				U5,2																											R					
				D5,1																																
				d6,1																												r				
				D6,1																												R				
				d7,1																													r			
				U7,2																													R			
				D7,1																																
				d8,1																														r		
		W		D8,1																														R		t2,10
D5,1		W						B2,5																				B2,2								T2,10
D10,3																																				t6,10
D5,1																			A2											A						
D4,3		T16,10			G6			B2,0											X			B2,0						B2,1							B2,1	
				P6	P																															
				d9,6																															r	
				U9,1																															R	
				D9,5																																
				d0,5																						r										
				D0,5																						R										
				d1,5																							r									
				D1,5																							R									
				d2,5																								r								
				U2,2																								R								
				D2,5																																
				d3,5																									r							
				D3,5																									R							
				d4,5																										r						
				U4,1																										R						
				D4,5																																
				d5,5																											r					
				U5,2																											R					
				D5,5																																
				d6,5																												r				
				D6,5																												R				
				d7,5																													r			
				U7,2																													R			
				D7,5																																
				d8,5																														r		
D4,2				D8,5																														R		
D14,2		T2,10																	A2											A						
D3,3																																				
D11,1					G3																															
				P3	P																															
				d9,3																															r	
				D9,2																															R	
				d0,2																						r										
				D0,2																						R										
				d1,2																							r									
				D1,2																							R									
				d2,2																								r								
				U2,1																								R								
				D2,1																																
				d3,1																									r							
				D3,1																									R							
				d4,1																										r						
				U4,1																										R						
				D4,1																																
				d5,1																											r					
				U5,2																											R					
				D5,1																																
				d6,1																												r				
				D6,1																												R				
				d7,1																													r			
				U7,2																													R			
				D7,1																																
				d8,1																														r		
D16,1				D8,1																														R		
D5,2																			A2											A						
D13,2																			B2,0											B2,1						
D4,1					G2																															
				P2	P																															
				d9,2																															r	
				D9,2																															R	
				d0,2																						r										
				D0,2																						R										
				d1,2																							r									
				D1,2																							R									
D6,1		T13,10		W																																
D18,3																																				
D0,3																																				
D0,1				d2,2																								r								
				U2,1																								R								
				D2,2																																
				d3,2																									r							
				D3,2																									R							
				d4,2																										r						
				U4,2																										R						
				D4,2																																
				d5,2																											r					
				U5,2																											R					
				D5,2																																
				d6,2																												r				
				D6,2																												R				
				d7,2																													r			
				U7,2																													R			
				D7,2																																
				d8,2																														r		
D17,1				D8,2	G4																													R		
D11,1				P4	P																															
				d9,4																															r	
				D9,4																															R	
				d0,4																						r										
				D0,4																						R										
				d1,4																							r									
				D1,4																							R									
				d2,4																								r								
				D2,3																								R								
				d3,3																									r							
				D3,3																									R							
				d4,3																										r						
				U4,1																										R						
				D4,2																																
				d5,2																											r					
				U5,2																											R					
				D5,2																																
				d6,2																												r				
				D6,2																												R				
				d7,2																													r			
				U7,2																													R			
				D7,2																																
				d8,2																														r		
D2,1				D8,2																														R		
D12,2																																				
D5,3																																				
D10,2					G3																															
				P3	P																															
				d9,3																															r	
				D9,3																															R	
				d0,3																						r										
				D0,3																						R										
D19,3				W																																
D6,3		W																																		T6,10
																																				t11,10
		W										B2,5					B2,5										B2,2						B2,0			T11,10
																																				t10,10
D13,1		W														B3,5											B3,2									T10,10
																																				t7,10
D9,1			N6,8	d1,3								V8	B3,5			B3,0											B3,1								B3,2	T7,10
																											r									
				U1,2																							R									
				D1,2																																
				d2,2																								r								
				D2,2																								R								
				d3,2																									r							
				D3,2																									R							
				d4,2																										r						
				U4,1																										R						
				D4,2																																
				d5,2																											r					
				U5,2																											R					
				D5,2																																
				d6,2																												r				
				D6,2																												R				
				d7,2																													r			
				U7,3																													R			
				D7,2																																
				d8,2																														r		
		W		D8,2																														R		t12,10
		W			G3													B3,5										B3,2								T12,10
																																				t18,10
D1,3		W															B2,0							A0			B2,1							A		T18,10
																																				t3,10
									A2			A2	B3,0					B3,0										B3,1			A			A	B3,1	T3,10
D1,2				P3	P				X																											
				d9,3																															r	
				D9,1																															R	
				d0,1																						r										
				D0,1																						R										
				d1,1																							r									
				U1,3																							R									
				D1,1																																
				d2,1																								r								
				U2,2																								R								
				D2,1																																
				d3,1																									r							
				D3,1																									R							
				d4,1																										r						
				U4,1																										R						
				D4,1																																
				d5,1																											r					
				U5,2																											R					
				D5,1																																
				d6,1																												r				
				D6,1																												R				
				d7,1																													r			
				U7,3																													R			
				D7,1																																
				d8,1																														r		
		W		D8,1																														R		t19,10
		W							B2,5																A2	A					B2,0					T19,10
																																				t16,10
D15,2		T12,10																				B2,5		B0,5										B0,2	B2,2	T16,10
D2,2		T10,10																																		
D13,2		T7,10	N3,6						V6																											
		T11,10																						A0										A		
D14,1					G5																			X												
				P5	P																															
				d9,5																															r	
				D9,4																															R	
				d0,4																						r										
				D0,4																						R										
				d1,4																							r									
				U1,1																							R									
				D1,2																																
				d2,2																								r								
				U2,2																								R								
				D2,2																																
				d3,2																									r							
				D3,2																									R							
				d4,2																										r						
				U4,1																										R						
				D4,2																																
				d5,2																											r					
				U5,3																											R					
				D5,2																																
		W		W								B2,0																						B2,2		t2,10
																									A2	A										T2,10
								B2,5														B2,0		A0	X			B2,2						A	B2,2	
D16,3		W							A2															X	B2,5	B2,2						A		B0,1		t13,10
D10,1		T16,10																						B0,0	B2,0	B2,1										
D16,3		T6,10		d6,2																												r				
				D6,2																												R				
				d7,2																													r			
				U7,3																													R			
				D7,2																																
				d8,2																														r		
				U8,2																														R		
D8,1		T19,10		D8,1	G7			B2,0																				B2,1								
D1,1		T18,10		P7	P				B2,0																							B2,2				
				d9,7																															r	
				D9,6																															R	
				d0,6																						r										
				U0,1																						R										
				D0,5																																
				d1,5																							r									
				U1,1																							R									
				D1,5																																
				d2,5																								r								
				U2,2																								R								
				D2,3																																
				d3,3																									r							
				D3,3																									R							
				d4,3																										r						
				U4,1																										R						
				D4,3																																
				d5,3																											r					
				U5,3																											R					
				D5,3																																
				d6,3																												r				
				U6,1																												R				
				D6,3																																
				d7,3																													r			
				U7,3																													R			
				D7,3																																
				d8,3																														r		
				U8,1																														R		
D10,3		T2,10		D8,2																																
D13,2		T3,10																																		
D7,1																																				
D16,3					G4																															
				P4	P																															
				d9,4																															r	
				D9,4																															R	
				d0,4																						r										
				D0,3																						R										
				d1,3																							r									
				U1,1																							R									
				D1,3																																
				d2,3																								r								
				U2,2																								R								
				D2,3																																
				d3,3																									r							
				D3,3																									R							
				d4,3																										r						
				U4,1																										R						
				D4,3																																
				d5,3																											r					
				U5,3																											R					
				D5,3																																
				d6,3																												r				
				U6,1																												R				
				D6,3																																
				d7,3																													r			
				U7,3																													R			
				D7,3																																
				d8,3																														r		
				U8,1																														R		
D0,2				D8,3																																
D1,3																																				
D1,1																																				
D15,2					G6																															
				P6	P																															
				d9,6																															r	
				D9,6																															R	
				d0,6																						r										
				D0,6																						R										
				d1,6																							r									
				D1,5																							R									
				d2,5																								r								
				U2,2																								R								
				D2,5																																
				d3,5																									r							
				D3,5																									R							
				d4,5																										r						
				U4,1																										R						
				D4,5																																
				d5,5																											r					
				U5,3																											R					
				D5,5																																
				d6,5																												r				
				U6,1																												R				
				D6,5																																
				d7,5																													r			
				U7,3																													R			
				D7,5																																
				d8,5																														r		
				U8,1																														R		
D1,2				D8,5																																
D19,1																																				
D14,3																																				
D10,2					G6																															
				P6	P																															
				d9,6																															r	
				D9,6																															R	
				d0,6																						r										
				D0,6																						R										
				d1,6																							r									
				D1,6																							R									
				d2,6																								r								
				D2,4																								R								
				d3,4																									r							
				D3,4																									R							
				d4,4																										r						
				U4,1																										R						
				D4,4																																
				d5,4																											r					
				U5,3																											R					
				D5,4																																
				d6,4																												r				
				U6,1																												R				
				D6,4																																
				d7,4																													r			
				U7,3																													R			
				D7,4																																
				d8,4																														r		
				U8,1																														R		
D5,1				D8,4																																
D1,2																																				
D10,2																																				
D14,3					G4																															
				P4	P																															
				d9,4																															r	
				D9,4																															R	
				d0,4																						r										
				D0,4																						R										
				d1,4																							r									
				D1,4																							R									
				d2,4																								r								
				D2,4																								R								
				d3,4																									r							
				D3,4																									R							
				d4,4																										r						
				D4,3																										R						
				d5,3																											r					
				U5,3																											R					
				D5,3																																
D4,2				W																																
D12,2																																				
D1,3				d6,3																												r				
				U6,1																												R				
				D6,3																																
				d7,3																													r			
				U7,3																													R			
				D7,3																																
				d8,3																														r		
				U8,1																														R		
D14,2				D8,3	G2																															
D10,3																																				
D18,3				P2	P																															
				d9,2																															r	
				D9,2																															R	
				d0,2																						r										
				D0,2																						R										
				d1,2																							r									
				D1,2																							R									
				d2,2																								r								
				D2,2																								R								
				d3,2																									r							
				D3,2																									R							
				d4,2																										r						
				D4,2																										R						
				d5,2																											r					
				U5,3																											R					
				D5,2																																
				d6,2																												r				
				U6,1																												R				
				D6,2																																
				d7,2																													r			
				U7,3																													R			
				D7,2																																
				d8,2																														r		
				U8,1																														R		
D15,1				D8,2																																
D16,1																																				
D9,1					G7																															
D10,1				P7	P																															
				d9,7																															r	
				D9,7																															R	
				d0,7																						r										
				D0,7																						R										
				d1,7																							r									
				D1,7																							R									
				d2,7																								r								
				D2,7																								R								
				d3,7																									r							
				D3,7																									R							
				d4,7																										r						
				D4,7																										R						
				d5,7																											r					
				U5,2																											R					
				D5,6																																
				d6,6																												r				
				U6,1																												R				
				D6,6																																
				d7,6																													r			
				U7,3																													R			
				D7,6																																
				d8,6																														r		
				U8,1																														R		
D0,1				D8,6																																
D11,3																																				
D9,1					G6																															
D12,3				P6	P																															
				d9,6																															r	
				D9,6																															R	
				d0,6																						r										
				D0,6																						R										
				d1,6																							r									
				D1,6																							R									
