Parent	Gropoff	WATOff	Names	Truck	Plant	Stud0	Stud1	Stud2	Stud3	Stud4	Stud5	Stud6	Stud7	Stud8	Stud9	Stud10	Stud11	Stud12	Stud13	Stud14	Stud15	Stud16	Stud17	Stud18	Stud19	Mach0	Mach1	Mach2	Mach3	Mach4	Mach5	Mach6	Mach7	Mach8	Mach9	Cour0
*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******
S	S	S	S																							S5										S
D14,2				D8,0																																
D3,1																																				
D15,1																																				
D7,1					G3																															
				P3	P																															
				d9,3																															r	
				U9,6																															R	
D10,2				D9,0																																
D18,1																																				
D7,1																																				
D8,2					G1																															
				P1	P																															
				d0,1																						r										
				U0,3																						R										
D3,3				D0,0																																
D14,2																																				
D17,2																																				
D17,1					G3																															
				P3	P																															
				d1,3																							r									
				U1,5																							R									
D8,3				D1,0																																
D4,1																																				
D18,1																																				
D13,1					G7																															
				P7	P																															
				d2,7																								r								
				D2,3																								R								
				d3,3																									r							
				U3,4																									R							
				D3,3																																
				d4,3																										r						
				U4,4																										R						
D1,3				D4,0																																
D16,1																																				
D16,3																																				
D9,1					G7																															
				P7	P																															
				d5,7																											r					
				D5,4																											R					
				d6,4																												r				
				U6,2																												R				
D10,1				D6,0																																
D4,1																																				
D2,3																																				
D0,2					G2																															
				P2	P																															
				d7,2																													r			
				U7,3																													R			
				D7,1																																
				d8,1																														r		
				U8,2																														R		
D17,1				D8,0																																
D15,1																																				
D14,1																																				
D18,1					G2																															
				P2	P																															
				d9,2																															r	
				U9,5																															R	
				D9,1																																
				d0,1																						r										
				U0,2																						R										
D17,2				D0,0																																
D18,2																																				
D4,2																																				
D19,3					G2																															
				P2	P																															
				d1,2																							r									
				U1,4																							R									
				D1,1																																
				d2,1																								r								
				D2,1																								R								
				d3,1																									r							
				U3,3																									R							
D3,2				D3,0																																
D18,1																																				
D8,2																																				
D1,3					G5																															
				P5	P																															
				d4,5																										r						
				U4,2																										R						
				D4,3																																
				d5,3																											r					
				D5,3																											R					
				d6,3																												r				
				U6,2																												R				
				D6,3																																
				d7,3																													r			
				U7,2																													R			
				D7,2																																
				d8,2																														r		
				U8,1																														R		
				D8,1																																
				d9,1																															r	
				U9,4																															R	
D13,3				D9,0																																
D3,2																																				
D0,2																																				
D17,2					G5																															
				P5	P																															
				d0,5																						r										
				D0,3																						R										
				d1,3																							r									
				U1,3																							R									
				D1,2																																
				d2,2																								r								
				D2,2																								R								
				d3,2																									r							
				U3,3																									R							
				D3,2																																
				d4,2																										r						
D5,3		W		D4,0																										R						T5,5
D7,2											B0,0																								B0,1	t6,5
D10,3		T5,10																																		
D17,2					G6																															
				P6	P																															
				d5,6																											r					
				D5,6																											R					
				d6,6																												r				
				D6,4																												R				
				d7,4																													r			
				U7,1																													R			
				D7,3																																
				d8,3																														r		
				U8,1																														R		
				D8,3																																
				d9,3																															r	
				U9,5																															R	
				D9,3																																
				d0,3																						r										
				D0,3																						R										
				d1,3																							r									
				U1,2																							R									
				D1,2																																
				d2,2																								r								
				D2,2																								R								
				d3,2																									r							
				U3,3																									R							
				D3,2																																
				d4,2																										r						
D14,1				D4,2																										R						
D19,3																																				
D10,3																																				
D15,1					G2																															
				P2	P																															
				d5,2																											r					
				D5,2																											R					
				d6,2																												r				
				D6,2																												R				
				d7,2																													r			
				D7,1																													R			
				d8,1																														r		
				U8,1																														R		
				D8,1																																
				d9,1																															r	
				U9,4																															R	
D12,1				D9,0																																
D5,1																																				
D4,1																																				
D16,1					G5																															
				P5	P																															
				d0,5																						r										
				D0,5																						R										
				d1,5																							r									
				U1,1																							R									
				D1,4																																
				d2,4																								r								
				D2,4																								R								
				d3,4																									r							
				U3,2																									R							
				D3,3																																
				d4,3																										r						
				D4,3																										R						
				d5,3																											r					
				D5,3																											R					
				d6,3																												r				
				D6,3																												R				
				d7,3																													r			
				D7,3																													R			
				d8,3																														r		
				D8,2																														R		
				d9,2																															r	
				U9,4																															R	
D17,3				D9,2																																
D15,3																																				
D17,3																																				
D3,3					G3																															
				P3	P																															
				d0,3																						r										
				D0,3																						R										
				d1,3																							r									
				D1,2																							R									
				d2,2																								r								
				D2,2																								R								
				d3,2																									r							
				U3,2																									R							
				D3,2																																
				d4,2																										r						
				D4,2																										R						
				d5,2																											r					
				D5,2																											R					
				d6,2																												r				
				D6,2																												R				
				d7,2																													r			
				D7,2																													R			
				d8,2																														r		
				D8,2																														R		
				d9,2																															r	
				U9,4																															R	
D12,3				D9,2																																
D0,2																																				
D13,3																																				
D7,2					G4																															
				P4	P																															
				d0,4																						r										
				D0,4																						R										
				d1,4																							r									
				D1,4																							R									
				d2,4																								r								
				D2,4																								R								
				d3,4																									r							
				D3,2																									R							
				d4,2																										r						
				D4,2																										R						
				d5,2																											r					
				D5,2																											R					
				d6,2																												r				
				D6,2																												R				
				d7,2																													r			
				D7,2																													R			
				d8,2																														r		
				D8,2																														R		
				d9,2																															r	
				U9,4																															R	
D3,3				D9,2																																
D7,3																																				
D1,2																																				
D10,1					G7																															
				P7	P																															
				d0,7																						r										
				D0,7																						R										
				d1,7																							r									
				D1,7																							R									
				d2,7																								r								
				D2,7																								R								
				d3,7																									r							
				D3,7																									R							
				d4,7																										r						
				D4,7																										R						
				d5,7																											r					
				D5,7																											R					
				d6,7																												r				
				D6,7																												R				
				d7,7																													r			
				D7,7																													R			
				d8,7																														r		
				D8,7																														R		
				d9,7																															r	
D19,3				D9,3																															R	
D17,1																																				
D4,3																																				
D11,2					G4																															
				P4	P																															
				d0,4																						r										
				D0,4																						R										
				d1,4																							r									
				D1,4																							R									
				d2,4																								r								
				D2,4																								R								
				d3,4																									r							
				D3,4																									R							
